Order ID,Postman ID,Customer ID,"Delivery Address (Lat, Long)",Item Type,Booking Date,Delivery Date,Day of Week,Initial Time Slot,Modified Time Slot,Address Type,Delivery Outcome,Delivery Route Traffic Conditions,Weather Conditions
ORD1001,POST002,CUST102,"'25.772026269384632, -80.31358315913582'",ID-Card,2024-12-10,2024-12-18,3,1,,2,1,3,2
ORD1002,POST003,CUST103,"'25.637890124298355, -80.201096259339'",Drivers-License,2024-12-11,2024-12-20,5,5,,3,1,1,1
ORD1003,POST004,CUST104,"'25.698824685644727, -80.04877835126914'",ID-Card,2024-12-12,2024-12-23,1,3,,3,1,2,3
ORD1004,POST005,CUST105,"'25.720951711306036, -80.15589046230241'",Drivers-License,2024-12-13,2024-12-21,6,1,,3,1,3,2
ORD1005,POST006,CUST106,"'25.780770821128254, -79.96002918587997'",ID-Card,2024-12-14,2024-12-27,5,1,,1,0,1,1
ORD1006,POST007,CUST107,"'25.780169147807452, -80.06749026059474'",Passport,2024-12-15,2024-12-26,4,2,,3,0,2,3
ORD1007,POST008,CUST108,"'25.620453285854012, -80.267319370884'",ID-Card,2024-12-16,2024-12-28,6,1,,1,0,3,2
ORD1008,POST009,CUST109,"'25.711212852739358, -79.98412195809337'",ID-Card,2024-12-17,2024-12-30,1,5,,3,1,1,1
ORD1009,POST010,CUST110,"'25.848684849585172, -80.4157902352443'",Passport,2024-12-18,2024-12-27,5,3,,3,1,2,3
ORD1010,POST011,CUST111,"'25.879454225429097, -80.25780657613923'",ID-Card,2024-12-19,2025-01-01,3,1,,1,1,3,2
ORD1011,POST012,CUST112,"'25.62772416417225, -80.03836141067337'",ID-Card,2024-12-20,2025-01-02,4,1,,2,1,1,1
ORD1012,POST013,CUST113,"'25.733832600124092, -80.09894703677321'",ID-Card,2024-12-21,2024-12-31,2,2,,1,1,2,3
ORD1013,POST014,CUST114,"'25.561472655720294, -80.2764266621709'",Drivers-License,2024-12-22,2025-01-03,5,1,,2,0,3,2
ORD1014,POST015,CUST115,"'25.751136269656126, -79.96011933630945'",ID-Card,2024-12-23,2025-01-04,6,1,,3,0,1,1
ORD1015,POST016,CUST116,"'25.999733278692368, -80.29999104652106'",Drivers-License,2024-12-24,2025-01-06,1,3,,3,1,2,3
ORD1016,POST017,CUST117,"'25.667175338020687, -80.22022787810045'",Passport,2024-12-25,2025-01-02,4,1,,1,0,3,2
ORD1017,POST018,CUST118,"'25.623952292336238, -80.25937465236025'",Passport,2024-12-26,2025-01-06,1,1,5.0,1,1,1,1
ORD1018,POST019,CUST119,"'25.55064944122154, -80.0462245148302'",Drivers-License,2024-12-27,2025-01-04,6,2,,1,1,2,3
ORD1019,POST020,CUST120,"'25.814340137855726, -80.22799834591959'",Drivers-License,2024-12-28,2025-01-06,1,1,,1,1,3,2
ORD1020,POST021,CUST121,"'25.604611522535887, -80.31523333522348'",Drivers-License,2024-12-29,2025-01-09,4,1,,2,0,1,1
ORD1021,POST022,CUST122,"'25.71000883253264, -80.22920171369312'",Drivers-License,2024-12-30,2025-01-08,3,3,,2,1,2,3
ORD1022,POST023,CUST123,"'25.857063231074353, -79.9885608737095'",Passport,2024-12-31,2025-01-11,6,1,,1,0,3,2
ORD1023,POST024,CUST124,"'25.92129577470409, -79.94185093232494'",ID-Card,2024-12-01,2024-12-10,2,1,,1,1,1,1
ORD1024,POST025,CUST125,"'25.520836139754167, -80.2361071705785'",Passport,2024-12-02,2024-12-12,4,2,,3,1,2,3
ORD1025,POST026,CUST126,"'25.85468650927407, -80.30831028826805'",Drivers-License,2024-12-03,2024-12-12,4,1,,3,1,3,2
ORD1026,POST027,CUST127,"'25.783803471482756, -80.22909027974863'",ID-Card,2024-12-04,2024-12-16,1,5,,3,1,1,1
ORD1027,POST028,CUST128,"'25.757176383682935, -80.36065243387347'",ID-Card,2024-12-05,2024-12-16,1,3,,3,1,2,3
ORD1028,POST029,CUST129,"'25.69984015876624, -79.9997602956583'",Drivers-License,2024-12-06,2024-12-18,3,1,,2,1,3,2
ORD1029,POST030,CUST130,"'25.51260029141492, -79.97890188995673'",ID-Card,2024-12-07,2024-12-19,4,1,,3,1,1,1
ORD1030,POST031,CUST131,"'25.834408534177875, -80.21135837537092'",Passport,2024-12-08,2024-12-18,3,2,,1,1,2,3
ORD1031,POST032,CUST132,"'25.762806729073354, -80.10333447747082'",Drivers-License,2024-12-09,2024-12-17,2,1,,2,1,3,2
ORD1032,POST033,CUST133,"'25.780959285587222, -80.19161644321905'",Letters,2024-12-10,2024-12-16,1,5,,1,0,1,1
ORD1033,POST034,CUST134,"'25.89116263932403, -79.97868167120787'",Passport,2024-12-11,2024-12-19,4,3,,2,0,2,3
ORD1034,POST035,CUST135,"'25.936719894870148, -80.15574469903545'",ID-Card,2024-12-12,2024-12-24,2,1,,3,1,3,2
ORD1035,POST036,CUST136,"'25.7433686558593, -80.2844743137828'",ID-Card,2024-12-13,2024-12-24,2,1,,2,1,1,1
ORD1036,POST037,CUST137,"'25.895520776123927, -80.20503884685519'",ID-Card,2024-12-14,2024-12-27,5,2,,3,1,2,3
ORD1037,POST038,CUST138,"'25.75156357025252, -80.36051604784203'",ID-Card,2024-12-15,2024-12-26,4,1,,3,1,3,2
ORD1038,POST039,CUST139,"'25.97002102171299, -80.28005829407432'",ID-Card,2024-12-16,2024-12-24,2,5,,1,1,1,1
ORD1039,POST040,CUST140,"'25.70477178891122, -80.41825418757779'",ID-Card,2024-12-17,2024-12-30,1,3,,3,1,2,3
ORD1040,POST041,CUST141,"'25.70242169506773, -79.95408336739294'",ID-Card,2024-12-18,2024-12-31,2,1,,2,1,3,2
ORD1041,POST042,CUST142,"'25.59262824817379, -80.27091634954546'",ID-Card,2024-12-19,2024-12-30,1,1,,1,1,1,1
ORD1042,POST043,CUST143,"'25.607478945402185, -80.16675013250884'",Passport,2024-12-20,2024-12-30,1,2,,2,0,2,3
ORD1043,POST044,CUST144,"'25.7952719206407, -80.41426691965846'",ID-Card,2024-12-21,2025-01-03,5,1,,2,1,3,2
ORD1044,POST045,CUST145,"'25.999731797738836, -80.39815976122152'",ID-Card,2024-12-22,2025-01-01,3,5,,2,1,1,1
